id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Skycoin, SKY, BTC, coinmarketcap, 0.0001891452152172788, 67.36899792768651, 2.3278, 2.1598, -4.1117, 2019-06-21T06:59:04, 1561100344000, 1h
null, BHPCoin, BHP, BTC, coinmarketcap, 0.00016441379935494104, 707.131127891477, -0.1356, -1.3572, -14.0244, 2019-06-21T06:59:08, 1561100348000, 1h
null, BOScoin, BOS, BTC, coinmarketcap, 0.000004299942992687801, 8.493101288199194, -0.2429, -0.3034, 71.2807, 2019-06-21T06:59:06, 1561100346000, 1h
null, Einsteinium, EMC2, BTC, coinmarketcap, 0.000011750899817497163, 159.9590377443667, 0.8961, -8.1338, -23.2433, 2019-06-21T06:59:01, 1561100341000, 1h
null, High Performance Blockchain, HPB, BTC, coinmarketcap, 0.000055948482829558595, 467.6354500422642, -0.1008, -0.701, 0.3757, 2019-06-21T06:59:06, 1561100346000, 1h
null, Nexus, NXS, BTC, coinmarketcap, 0.00003829110764944262, 64.04176098609479, -0.2336, -2.1231, -13.2851, 2019-06-21T06:59:01, 1561100341000, 1h
null, Quantum Resistant Ledger, QRL, BTC, coinmarketcap, 0.00003519372100618336, 5.495164674043164, -0.5424, -7.5185, -11.9726, 2019-06-21T06:59:04, 1561100344000, 1h
null, Obyte, GBYTE, BTC, coinmarketcap, 0.00335446894475838, 4.132711213252262, -1.0619, -10.8544, -24.8275, 2019-06-21T06:59:03, 1561100343000, 1h
null, IRISnet, IRIS, BTC, coinmarketcap, 0.000007038304001286719, 298.4079619909103, -0.2847, -6.1437, -14.8463, 2019-06-21T06:59:11, 1561100351000, 1h
null, PLATINCOIN, PLC, BTC, coinmarketcap, 0.0032485332273073076, 335.8273783146894, 0.0285, -4.1128, -6.7694, 2019-06-21T06:59:10, 1561100350000, 1h
null, Pirate Chain, ARRR, BTC, coinmarketcap, 0.00002183479890911351, 0.8628657184495254, -0.7389, -9.035, 15.3558, 2019-06-21T06:59:11, 1561100351000, 1h
null, Particl, PART, BTC, coinmarketcap, 0.0002615385214192728, 8.409087693286693, -3.5758, -8.5842, -31.7593, 2019-06-21T06:59:05, 1561100345000, 1h
null, Apollo Currency, APL, BTC, coinmarketcap, 1.4079586351504258E-7, 3.3866615960646684, -6.4962, -14.8725, -31.395, 2019-06-21T06:59:08, 1561100348000, 1h
null, SaluS, SLS, BTC, coinmarketcap, 0.001986842647635173, 0.4368033628782792, -0.0908, 0.0322, -4.6416, 2019-06-21T06:59:02, 1561100342000, 1h
null, TTC, TTC, BTC, coinmarketcap, 0.00000953716920946508, 356.9848430910732, -0.6939, -14.3485, -26.7402, 2019-06-21T06:59:09, 1561100349000, 1h
null, Lightning Bitcoin, LBTC, BTC, coinmarketcap, 0.00048650943819137857, 698.7959447438413, -2.3756, -6.9037, -19.9374, 2019-06-21T06:59:06, 1561100346000, 1h
null, ILCoin, ILC, BTC, coinmarketcap, 0.000006171199803269271, 122.31317947738594, -0.8711, -6.4456, -14.9733, 2019-06-21T06:59:10, 1561100350000, 1h
null, Neblio, NEBL, BTC, coinmarketcap, 0.00011684396238635243, 67.92266543851973, 0.3004, -9.0301, -26.6035, 2019-06-21T06:59:05, 1561100345000, 1h
